[Header Info Signal 1 COLT 3.0]
"ECD005972.D","RS/CMP","D:\GCECD\DATA\18sep\",[GC],1
14-Sep-18, 11:53:05,2016PEST-PSD-009.M,4
"091418-001-CV-01"," "," ","ECD"
" "
" ",Wed Aug 15 17:06:50 2018

1ppm,0.5,0.25,0.1,0.05,.025
ECD005718.D,ECD005716.D,ECD005714.D,ECD005712.D,ECD005710.D,ECD005708.D
[Header Info Signal 2]
"ECD005972.D","RS/CMP","D:\GCECD\DATA\18sep\"
14-Sep-18, 11:53:05,2016PEST-PSD-009.M,3
"0.25ppm Pest CV"," "," ","ECD"
" "
" ",Wed Aug 15 17:06:50 2018

1ppm,0.5,0.25,0.1,0.05,.025
ECD005718.D,ECD005716.D,ECD005714.D,ECD005712.D,ECD005710.D,ECD005708.D
[Results Signal 1 - 2016PEST-PSD-009.RES]
"4,4'-dibromooctafluorobiphenyl",18593766929,5.679,100.00
"TCMX (SS)",43898020680,5.969,215.49
"PCB 100 (SS)",19136040877,12.410,253.42
"decachlorobiphenyl (SS)",25539045247,19.561,107.75
"PCB 65-d5 (PRC)",45982681539,11.475,589.20
"PCB 116-d5 (PRC)",59820106280,14.573,205.94
"PCB 156-d3 (PRC)",36145475310,17.597,124.95
"1,2-dibromo-3-chloropropane",74476454227,1.869,763.56
"hexachloropentadiene",28742059952,2.850,207.20
"etridiazole",20487497054,4.530,223.13
"chloroneb",2740133648,5.477,209.58
"trifluralin",22261391393,5.538,436.79
"propachlor",3302343301,6.791,112.93
"prophos",3675304325,6.799,128.12
"diallate",1919290366,7.059,249.09
"coumarin",0,0.000,0.00
"hexachlorobenzene",46868009431,7.443,273.52
"phorate",145389848,7.609,56.46
"a-BHC",51130947123,7.948,223.19
"pentachloronitrobenzene",38372255069,8.729,256.85
"diazinon",38360463388,8.729,10171.60
"atrazine",405761917,8.942,244.05
"simazine",43951791277,9.148,606.08
"lindane",43874285231,9.148,604.95
"dyfonate",9871717428,9.235,215.93
"dimethoate",32254469389,9.896,304.11
"b-BHC",32279036970,9.896,303.82
"heptachlor",46197715613,9.995,294.87
"vinclozolin",20315374369,10.296,286.55
"alachlor",5302590290,10.678,292.26
"d-BHC",44224477610,10.768,291.62
"chlorothalonil",25619603339,10.836,250.69
"aldrin",54443489299,10.919,319.42
"methyl chlorpyrifos",16247782295,10.961,234.86
"propanil",12957268077,11.134,381.46
"methyl parathion",46051779533,11.475,579.55
"metolachlor",2912462774,11.649,288.27
"o,p'-dicofol",45238143570,11.855,552.59
"dacthal",45401057864,11.855,548.61
"chlorpyrifos",20961310942,11.956,318.35
"fipronil sulfide",44169568994,12.121,319.12
"fenitrothion",66851624912,12.180,1008.05
"malathion",66125621284,12.180,977.89
"fipronil",65008611413,12.180,977.86
"isodrin",40143541593,12.269,263.29
"parathion",9205674662,12.351,277.47
"p,p'-dicofol",6452941015,12.629,231.27
"heptachlor epoxide",41879035301,12.777,272.04
"pendimethalin",9671621834,12.823,241.77
"trans-chlordane",52220471747,13.377,226.86
"trans-nonachlor",50686126697,13.424,264.62
"cis-chlordane",51892096213,13.776,287.94
"endosulfan I",46333327580,13.872,294.29
"triclosan",36495814623,13.908,264.78
"fipronil sulfone",43460294760,14.262,245.56
"oxadiazon",18681359605,14.387,286.28
"p,p'-DDE",54548531729,14.730,224.62
"dieldrin",46352868974,14.829,279.40
"captan",15866063889,15.109,740.81
"chloropropylate",2696670704,15.349,263.13
"perthan",1155976345,15.662,290.33
"chlorobenzilate",2904971516,15.730,243.98
"endrin",44085037169,15.813,229.22
"p,p'-DDD",43017850834,16.316,209.00
"ethion",23886866799,16.361,258.49
"endosulfan II",37617811460,16.418,207.79
"p,p'-DDT",36814522679,16.838,167.10
"endrin aldehyde",30431852573,16.985,184.07
"bifenthrin",10210142535,17.076,223.08
"endosulfan sulfate",19834259030,17.260,236.02
"iprodione",7758047103,17.501,175.56
"L-cyhalothrin I",5894330338,17.849,73.47
"L-cyhalothrin II",13211309843,17.986,252.17
"captofol",746335024,18.079,324.14
"methoxychlor",16902053913,18.144,196.85
"mirex",22585292239,18.226,125.03
"endrin ketone",24393588408,18.279,231.19
"cyfluthrin I",3463819648,18.331,5.90
"imidan",12783890433,18.578,261.31
"cis-permethrin",1479440295,18.878,69.32
"trans-permethrin",2485747754,18.965,94.52
"acetamiprid",2340612034,18.723,115.58
"guthion",0,0.000,0.00
"cyfluthrin II",3050799583,19.156,64.35
"cyfluthrin III",3253329005,19.205,131.50
"cyfluthrin IV",5508615379,19.254,53.23
"cyfluthrin V",5531311413,19.254,70.78
"cypermethrin I",2072755377,19.431,61.13
"cypermethrin II",2568778946,19.484,137.70
"cypermethrin III",8889115799,19.534,74.40
"cypermethrin IV",9795988945,19.534,64.59
"esfenvalerate I",10152076789,19.534,85.76
"deltamethrin + tralomethrin I",5026683166,19.837,22.87
"esfenvalerate II",4470658678,20.039,66.25
"esfenvalerate III",5322749795,20.170,443.85
"deltamethrin + tralomethrin II",5001647256,20.520,127.97
"deltamethrin + tralomethrin III",6767754229,20.669,844.90

[Results Signal 2 - 2016PEST-PSD-009.RES]
"4,4'-dibromooctafluorobiphenyl",37569264592,5.803,100.00
"TCMX (SS)",79716126412,5.258,225.13
"PCB 100 (SS)",1.06578e+011,10.614,645.90
"decachlorobiphenyl (SS)",38890886079,18.631,132.23
"PCB 65-d5 (PRC)",67907793012,9.547,288.08
"PCB 116-d5 (PRC)",82674069606,12.356,187.09
"PCB 156-d3 (PRC)",66537452229,16.158,190.76
"1,2-dibromo-3-chloropropane",51317949501,1.512,460.38
"hexachloropentadiene",81456983349,2.779,313.56
"etridiazole",65682290285,3.635,424.00
"chloroneb",7203020761,4.098,412.09
"trifluralin",82743956534,5.763,641.33
"propachlor",6611330072,5.109,481.29
"prophos",2202864543,5.379,206.97
"diallate",3627154890,6.092,650.03
"coumarin",0,0.000,0.00
"hexachlorobenzene",72367126024,6.205,255.41
"phorate",186774050,6.059,52.54
"a-BHC",63339114078,6.160,136.53
"pentachloronitrobenzene",51649569868,6.806,385.26
"diazinon",48564276914,7.354,410.44
"atrazine",64713049087,6.796,548.81
"simazine",308725336,6.666,181.94
"lindane",74453964727,6.983,221.75
"dyfonate",28147099943,7.194,386.53
"dimethoate",24442514901,6.485,533.06
"b-BHC",44112468135,6.773,261.90
"heptachlor",75396898710,8.817,227.16
"vinclozolin",56985197035,8.613,462.10
"alachlor",14279995313,8.698,416.76
"d-BHC",66202404316,7.687,193.90
"chlorothalonil",48564276914,7.354,410.30
"aldrin",79384791743,9.738,235.60
"methyl chlorpyrifos",54166965908,8.484,450.20
"propanil",36879804910,8.392,488.82
"methyl parathion",42330344861,8.659,602.26
"metolachlor",6132894575,9.712,978.47
"o,p'-dicofol",28475495981,9.295,452.51
"dacthal",66986795948,9.907,300.24
"chlorpyrifos",49516091465,9.797,461.77
"fipronil sulfide",1.07399e+011,10.614,671.73
"fenitrothion",52809379567,9.366,449.13
"malathion",4983811805,0.000,0.00
"fipronil",74944033231,10.923,331.19
"isodrin",74349845675,10.553,259.97
"parathion",28416345822,10.031,501.27
"p,p'-dicofol",13734665595,10.190,367.75
"heptachlor epoxide",74000960686,10.841,258.74
"pendimethalin",33613317844,10.726,525.24
"trans-chlordane",78999781793,11.509,222.34
"trans-nonachlor",77621278378,11.960,236.05
"cis-chlordane",1.01277e+011,11.910,368.86
"endosulfan I",1.01277e+011,11.910,368.86
"triclosan",75243415781,11.608,383.76
"fipronil sulfone",1.1888e+011,12.683,440.98
"oxadiazon",39785273377,12.785,449.90
"p,p'-DDE",1.1888e+011,12.683,429.58
"dieldrin",1.1888e+011,12.683,429.58
"captan",19169872202,11.161,204.95
